"","Elevation","CanopyHeight","Ruggedness","ForestCover","ForestLoss","SiteTransect","ForestLossProp","Species"
"61",1070.48638132296,22.6666666666667,22.6237463876895,251,4,"Ambavala_3",0.0159362549800797,"Hapalemur_occidentalis"
"62",1191.57692307692,26.0307167235495,23.2345874207652,242,1,"Ambodihasina_1",0.00413223140495868,"Hapalemur_occidentalis"
"63",1189.36964980545,25.2981366459627,22.3792301318989,266,0,"Ambodihasina_2",0,"Hapalemur_occidentalis"
"64",1097.11711711712,23.1948529411765,24.2870354437613,221,8,"Ambodihasina_3",0.0361990950226244,"Hapalemur_occidentalis"
"65",1128.69508196721,21.9972752043597,35.5540475657729,302,0,"Ambodimandresy_1",0,"Hapalemur_occidentalis"
"66",1087.5081300813,22.8712871287129,40.5884955879149,245,0,"Ambodimandresy_2",0,"Hapalemur_occidentalis"
"67",1063.8093645485,24.8378378378378,31.390163329134,306,0,"Ambodimandresy_3",0,"Hapalemur_occidentalis"
"68",1157.48113207547,23.5780051150895,35.0357190617975,317,9,"Ambodivoara_1",0.028391167192429,"Hapalemur_occidentalis"
"69",1123.44827586207,23.9783950617284,41.9385240269804,270,1,"Ambodivoara_2",0.0037037037037037,"Hapalemur_occidentalis"
"70",1151.73355263158,25.472,31.2472093215114,309,10,"Ambodivoara_3",0.0323624595469256,"Hapalemur_occidentalis"
"71",1124.27922077922,22.561170212766,34.9350566105409,311,12,"Ambodivoara_4",0.0385852090032154,"Hapalemur_occidentalis"
"72",1055.8391959799,24.9233870967742,33.7376006260589,203,0,"Ambodivoara_5",0,"Hapalemur_occidentalis"
"73",1084.56111111111,19.5112107623318,23.8354125367271,185,0,"AmbodivohitraKobahina_1",0,"Hapalemur_occidentalis"
"74",1122.38818565401,23.515570934256,25.1527665556735,236,0,"AmbodivohitraKobahina_2",0,"Hapalemur_occidentalis"
"75",1077.04,23.1585760517799,19.4031114578247,256,0,"AmbodivohitraKobahina_3",0,"Hapalemur_occidentalis"
"76",1159.80966767372,20.8588516746411,22.3955347674851,340,2,"Androfiabe_1",0.00588235294117647,"Hapalemur_occidentalis"
"77",1159.25806451613,20.8135198135198,21.4589453246936,349,2,"Androfiabe_2",0.00573065902578797,"Hapalemur_occidentalis"
"78",1073.76489028213,22.4723618090452,26.6849641471074,324,1,"Androfiabe_3",0.00308641975308642,"Hapalemur_occidentalis"
"79",1191.23423423423,23.5724637681159,31.8097791929503,226,2,"Antanambe_1",0.00884955752212389,"Hapalemur_occidentalis"
"80",1110.50740740741,23.8994082840237,26.1433965161995,279,2,"Antanambe_2",0.00716845878136201,"Hapalemur_occidentalis"
"81",1142.00292397661,20.9527186761229,33.86139691364,339,9,"Antanambe_3",0.0265486725663717,"Hapalemur_occidentalis"
"82",1234.78403755869,20.3448275862069,30.3388783047457,183,1,"Befamatra_1",0.00546448087431694,"Hapalemur_occidentalis"
"83",1229.68156424581,26.2045454545455,33.7681615179477,178,0,"Befamatra_2",0,"Hapalemur_occidentalis"
"84",1400.86338797814,24.0769230769231,30.6077116356521,184,0,"Befamatra_3",0,"Hapalemur_occidentalis"
"85",972.703862660944,21.3055555555556,29.374173770135,232,0,"Betaolana_1",0,"Hapalemur_occidentalis"
"86",1146.64,21.0425531914894,37.4332297176785,226,7,"Betaolana_2",0.0309734513274336,"Hapalemur_occidentalis"
"87",1080.41883116883,24.4417989417989,25.760356677043,305,1,"Betaolana_3",0.00327868852459016,"Hapalemur_occidentalis"
"88",1154.70675105485,21.5897435897436,25.5523190226736,484,0,"Ambavala_1",0,"Allocebus_trichotis"
"89",1111.70621468927,22.1563218390805,26.6223009723728,360,0,"Ambavala_2",0,"Allocebus_trichotis"
"90",1074.54523809524,22.0354330708661,23.223863140742,411,6,"Ambavala_3",0.0145985401459854,"Allocebus_trichotis"
"91",1188.19849246231,25.7218813905931,23.3232834902241,401,3,"Ambodihasina_1",0.00748129675810474,"Allocebus_trichotis"
"92",1189.37882352941,25.2314990512334,22.8310923733431,429,0,"Ambodihasina_2",0,"Allocebus_trichotis"
"93",1097.50819672131,23.6263736263736,23.6418144572628,365,12,"Ambodihasina_3",0.0328767123287671,"Allocebus_trichotis"
"94",1126.34343434343,21.7918032786885,35.6587672570739,498,1,"Ambodimandresy_1",0.00200803212851406,"Allocebus_trichotis"
"95",1081.63703703704,23.0401606425703,39.3481893374596,408,4,"Ambodimandresy_2",0.00980392156862745,"Allocebus_trichotis"
"96",1068.82546201232,24.7296849087894,33.4001893350965,498,0,"Ambodimandresy_3",0,"Allocebus_trichotis"
"97",1157.37843137255,23.7964743589744,35.8285385075738,511,17,"Ambodivoara_1",0.0332681017612524,"Allocebus_trichotis"
"98",1118.15439429929,23.5,40.6770704421182,431,10,"Ambodivoara_2",0.0232018561484919,"Allocebus_trichotis"
"99",1147.033126294,24.7731092436975,30.313862426434,489,17,"Ambodivoara_3",0.0347648261758691,"Allocebus_trichotis"
"100",1122.32098765432,22.8774509803922,33.7994515189418,496,21,"Ambodivoara_4",0.0423387096774194,"Allocebus_trichotis"
"101",1063.96096096096,24.7475961538461,34.5930775464834,340,3,"Ambodivoara_5",0.00882352941176471,"Allocebus_trichotis"
"102",1086.46278317152,20.8821989528796,24.7840409525776,316,0,"AmbodivohitraKobahina_1",0,"Allocebus_trichotis"
"103",1121.23797468354,23.1958762886598,24.4150530211533,390,0,"AmbodivohitraKobahina_2",0,"Allocebus_trichotis"
"104",1076.65206812652,22.599609375,20.228741961384,411,0,"AmbodivohitraKobahina_3",0,"Allocebus_trichotis"
"105",1155.12476722533,21.0569715142429,22.2062117871404,542,2,"Androfiabe_1",0.003690036900369,"Allocebus_trichotis"
"106",1153.72495446266,20.9272197962154,22.1423842120909,563,2,"Androfiabe_2",0.00355239786856128,"Allocebus_trichotis"
"107",1067.56470588235,22.0380348652932,27.1282919360142,511,10,"Androfiabe_3",0.0195694716242661,"Allocebus_trichotis"
"108",1191,23.7326086956522,31.0194887022445,376,3,"Antanambe_1",0.00797872340425532,"Allocebus_trichotis"
"109",1106.1029082774,23.3441441441441,25.584575903229,457,5,"Antanambe_2",0.0109409190371991,"Allocebus_trichotis"
"110",1142.02154398564,20.6075581395349,33.9868753337347,556,20,"Antanambe_3",0.0359712230215827,"Allocebus_trichotis"
"111",1229.79444444444,19.8322147651007,30.2797085020277,310,11,"Befamatra_1",0.0354838709677419,"Allocebus_trichotis"
"112",1226.84590163934,24.6773333333333,34.0825648354702,293,0,"Befamatra_2",0,"Allocebus_trichotis"
"113",1399.90705128205,24.0467532467532,32.242359543458,311,1,"Befamatra_3",0.00321543408360129,"Allocebus_trichotis"
"114",965.795865633075,20.1398747390397,29.9251739997272,367,6,"Betaolana_1",0.0163487738419619,"Allocebus_trichotis"
"115",1133.30585106383,21.3505376344086,35.945834972757,377,9,"Betaolana_2",0.0238726790450928,"Allocebus_trichotis"
"116",1083.19038076152,23.5016286644951,26.9046250498127,500,6,"Betaolana_3",0.012,"Allocebus_trichotis"
"117",1153.52727272727,21.7328467153285,26.1814361502907,561,0,"Ambavala_1",0,"Eulemur_albifrons"
"118",1113.04076738609,22.0794573643411,26.5783326551497,419,0,"Ambavala_2",0,"Eulemur_albifrons"
"119",1076.82194616977,21.938127090301,23.2650646324237,474,9,"Ambavala_3",0.0189873417721519,"Eulemur_albifrons"
"120",1187.98283261803,25.5706806282723,23.4835889738517,473,3,"Ambodihasina_1",0.00634249471458774,"Eulemur_albifrons"
"121",1189.70140280561,25.1753246753247,23.1645078248156,507,0,"Ambodihasina_2",0,"Eulemur_albifrons"
"122",1098.64965197216,23.7209737827715,23.438169387543,428,12,"Ambodihasina_3",0.0280373831775701,"Eulemur_albifrons"
"123",1126.31034482759,21.7623762376238,35.3867958562127,576,3,"Ambodimandresy_1",0.00520833333333333,"Eulemur_albifrons"
"124",1080.16317991632,23.1726495726496,38.4262854643945,477,7,"Ambodimandresy_2",0.0146750524109015,"Eulemur_albifrons"
"125",1071.22419928826,24.6513629842181,34.235732492603,568,0,"Ambodimandresy_3",0,"Eulemur_albifrons"
"126",1158.7,23.8545953360768,36.393834604066,595,19,"Ambodivoara_1",0.0319327731092437,"Eulemur_albifrons"
"127",1116.76543209877,23.3272425249169,39.5065034613197,493,13,"Ambodivoara_2",0.026369168356998,"Eulemur_albifrons"
"128",1145.60540540541,24.7394468704512,30.2861817617674,565,19,"Ambodivoara_3",0.0336283185840708,"Eulemur_albifrons"
"129",1121.48780487805,22.8967468175389,33.5799775381121,580,22,"Ambodivoara_4",0.0379310344827586,"Eulemur_albifrons"
"130",1064.84398976982,24.6024844720497,34.5792384659848,399,5,"Ambodivoara_5",0.012531328320802,"Eulemur_albifrons"
"131",1086.34594594595,21.037610619469,25.0831626673002,365,0,"AmbodivohitraKobahina_1",0,"Eulemur_albifrons"
"132",1121.19340659341,23.05291005291,23.8912357550401,463,0,"AmbodivohitraKobahina_2",0,"Eulemur_albifrons"
"133",1076.21666666667,22.6033613445378,20.3150898993015,476,0,"AmbodivohitraKobahina_3",0,"Eulemur_albifrons"
"134",1153.4674267101,21.242819843342,21.9961603091672,625,2,"Androfiabe_1",0.0032,"Eulemur_albifrons"
"135",1151.884375,21.1118170266836,22.1434969700873,640,2,"Androfiabe_2",0.003125,"Eulemur_albifrons"
"136",1065.29081632653,21.8315068493151,27.1702745252726,591,16,"Androfiabe_3",0.027072758037225,"Eulemur_albifrons"
"137",1189.1095890411,23.6579439252336,31.3082374840567,442,3,"Antanambe_1",0.00678733031674208,"Eulemur_albifrons"
"138",1104.58766859345,23.1832298136646,25.4475980278155,526,6,"Antanambe_2",0.0114068441064639,"Eulemur_albifrons"
"139",1142.97496087637,20.603513174404,33.9953064306614,648,20,"Antanambe_3",0.0308641975308642,"Eulemur_albifrons"
"140",1229.23474178404,19.8963531669865,29.6456110264774,364,16,"Befamatra_1",0.043956043956044,"Eulemur_albifrons"
"141",1225.59392265193,24.2471655328798,34.7326771198715,338,0,"Befamatra_2",0,"Eulemur_albifrons"
"142",1398.68010752688,24.0641592920354,32.6971414986477,369,2,"Befamatra_3",0.00542005420054201,"Eulemur_albifrons"
"143",963.229910714286,19.5098389982111,30.1601441513215,412,12,"Betaolana_1",0.029126213592233,"Eulemur_albifrons"
"144",1128.90137614679,21.5896487985213,35.4296565394883,446,12,"Betaolana_2",0.0269058295964126,"Eulemur_albifrons"
"145",1084.18685121107,23.2334739803094,27.1883209535408,582,11,"Betaolana_3",0.0189003436426117,"Eulemur_albifrons"
"146",1164.65811965812,20.9673202614379,25.3242713406555,124,0,"Ambavala_1",0,"Avahi_laniger"
"147",1113.33333333333,22.5545454545455,27.2977173136569,89,0,"Ambavala_2",0,"Avahi_laniger"
"148",1069.02702702703,22.7573529411765,21.6165425970748,105,0,"Ambavala_3",0,"Avahi_laniger"
